Repos,Ticket,Fix version,Available on branch(s),Status,Branch Build (UAT/Production),Merge on Devel,Feature/Fix Bug/Enhance,Ready For QC,Pending Issues
Core,,,,,,,,,"Remove ecomV1, promotionV1, and V3 (resolved on refactor/optimize-code) (merged on dxpro-dev-build and ready for dxpro-dev2-build)"
,MAG-20479,sow/1.9.6,sow/1.9.6-remove-label-validate,merged,"devel, release/v1.9.6-pre-release.3",TRUE,enhance,,
,MAG-20250,sow/1.9.x,feature/enhance-tab-navigate,merged,"dxpro-dev2-build, devel",TRUE,Fix bug,,
,MAG-21001,sow/1.9.x,sow/1.9-dev-feature-fix,merged,"dxpro-dev2-build, devel",TRUE,Fix bug,,
,MAG-21026,sow/1.9.9,sow/1.9-dev-feature-fix,merged,"dxpro-dev2-build, devel",TRUE,Fix bug,,
,MAG-20776,sow/1.10.1,sow/1.9-MAG-20776-cant-update-org-settings,merged,"dxpro-dev2-build, devel",TRUE,Fix bug,,
,MAG-18878,sow/1.9.x,sow/1.9-MAG-18878-add-outfit-font-for-editor,merged,"dxpro-dev-2-build, devel",TRUE,Enhancement ,,
,MAG-22170,sow/1.11.x,sow/1.11-dev-feature-fix,,dxpro-dev-2-build,FALSE,Enhancement,,
,MAG-22429,sow/1.12.x,sow/MAG-22343-Enhance-Redirect-Rule,merged,dxpro-dev-2-build,TRUE,,,
,MAG-22428,,,,,TRUE,,,
,MAG-22343,,,,,TRUE,,,
,MAG-21976,,,,,TRUE,,,
,MAG-22648,sow/1.11,sow/1.12-MAG-22648-Add-MinMax-Select-Config,merged,dxpro-dev2-build,FALSE,,,
E-Com,MAG-20252,sow/1.9.6,sow/1.9.6-improve-timeslotId-logic,merged," dxpro-dev2-build, release/v1.9.6-pre-release.2, devel",TRUE,,,
,MAG-20339,sow/1.9.5,sow/1.9.0 (re-open SMS Optin text in code) (branch removed),merged,devel,TRUE,,,
,"MAG-20339, MAG-20339, MAG-20529, MAG-20528, MAG-20527, MAG-20529",sow/1.9.7,sow/1.9.6-refator-store-working-hours,merged,"dxpro-dev2-build, devel",TRUE,Fix bug,,
,MAG-20250,sow/1.9.7,feature/enhance-tab-navigate,merged,"dxpro-dev2-build, devel",TRUE,enhance,,
,MAG-18858,sow/1.9.x,sow/1.9-customer-store-options-value,merged,"dxpro-dev2-build, devel",TRUE,Fix bug,waiting for QC test,
